"timestamp","user_input","predicted_tag","response","correct","feedback"
"2025-09-08 23:23:17","Hi there, how can I help?","greeting","Hi there, how can I help?","0","no"
"2025-09-08 23:33:34","Hey :-)","greeting","Hey :-)","0","no"
"2025-09-08 23:33:50","Hey :-)","greeting","Hey :-)","1","yes"
"2025-09-08 23:39:59","time","greeting","Hello, thanks for visiting","0","no"
"2025-09-08 23:40:18","bye","greeting","Hello, thanks for visiting","0","no"
"2025-09-08 23:40:19","bye","greeting","Hello, thanks for visiting","0","no"
"2025-09-08 23:40:20","bye","greeting","Hello, thanks for visiting","0","no"
"2025-09-08 23:40:20","bye","greeting","Hello, thanks for visiting","0","no"
"2025-09-08 23:40:21","bye","greeting","Hello, thanks for visiting","0","no"
"2025-09-08 23:40:21","bye","greeting","Hello, thanks for visiting","0","no"
"2025-09-08 23:47:08","ok","greeting","Hey :-)","0","no"
"2025-09-09 01:33:11","hi","greeting","Hey :-)","","0.9992769360542297","sw",""
"2025-09-09 01:36:23","hi","greeting","Halo, ninawezaje kusaidia?","","0.9992769360542297","sw",""
"2025-09-09 01:36:27","hi","greeting","Halo, ninawezaje kusaidia?","no","0.9992769360542297","sw",""
"2025-09-09 01:37:00","hi","greeting","Halo, ninawezaje kusaidia?","yes","0.9992769360542297","sw",""
"2025-09-09 01:37:27","hi","greeting","Hey :-)","","0.9992769360542297","sw",""
"2025-09-09 01:37:54","bye","greeting","Hei :-)","","0.89324951171875","no",""
"2025-09-09 01:38:06","time","greeting","Përshëndetje atje, çfarë mund të bëj për ty?","","0.89324951171875","sq",""
"2025-09-09 01:38:18","what time","greeting","Hi there, how can I help?","","0.9975760579109192","en",""
"2025-09-09 01:38:31","什么时间","greeting","Hi there, what can I do for you?","","0.89324951171875","zh-cn","zh-cn"
"2025-09-09 01:41:58","hi","greeting","Halo, asante kwa kutembelea","","0.9992769360542297","sw","sw"
"2025-09-09 01:42:07","你好","greeting","Hi there, what can I do for you?","","0.89324951171875","zh-cn","zh-cn"
"2025-09-09 01:48:33","hi","sw","Hi","greeting","Halo, ninawezaje kusaidia?","","0.9992769360542297","sw","sw"
"2025-09-09 01:48:38","你好","zh-cn","你好","greeting","Hello, thanks for visiting","","0.89324951171875","zh-cn","zh-cn"
